FID,GPID,ADDRESS,Shape__Are,DAUID,DA_ID,pop_2016_2,pop_2011,pop_chng_p,pop_dens,land_area,dwell_dens,0_14_yrs,15_64_yrs,65_plus_yr,20_24_yrs,20_24_pct,0_14_pct,15_64_pct,65_pls_pct,pop_age_av,dwellings,s_d_h,s_d_h_pct,hs_size_av,dwl_chld,dwl_chld_p,ave_inc,median_val,ave_val,owner,owner_pct,rentr,rentr_pct,own_30pls,rnt_30pls,rent_av,highr_ed,bach,bach_pct,mast,mast_pct,doct,doct_pct,unemployme,commute,transit,transit_p,walk,walk_pct,bicyc,bicyc_pct,mvrs_1yr_p,mvrs_3yr_p,noise_km,bark_km,bylaw_km,other_km,total_km,SCHOOL,Ranking,Ave_Rating,trees_km,walkscore,bikescore,ws_ave,bs_ave,FID_2,GPID_2,ADDRESS_2,LIST_PRICE,SOLD_ON,SELL_PRICE,DOM,BDRMS,BDRMS+,SIZE_SQFT,AGE,STYLE,BSMT,ASS_YR,ASS_AMT,TAX_YR,TAX_AMT,LOT_DPTH,LOT_FRNT,PARCEL_NO,COMMUNITY,TYPE,LAT,LON
"43086","2000014024",78 AMSTERDAM CRESCENT,17607.347656250000000,"35230387",35230387.000000000000000,1287.000000000000000,785.000000000000000,63.899999999999999,2605.800000000000182,0.500000000000000,1022.399999999999977,295.000000000000000,880.000000000000000,115.000000000000000,100.000000000000000,7.800000000000000,23.000000000000000,68.500000000000000,8.900000000000000,34.299999999999997,460.000000000000000,255.000000000000000,55.399999999999999,2.800000000000000,230.000000000000000,50.000000000000000,82433.000000000000000,592964.000000000000000,570274.000000000000000,375.000000000000000,79.799999999999997,90.000000000000000,19.100000000000001,9.300000000000001,61.100000000000001,1320.000000000000000,1010.000000000000000,450.000000000000000,44.600000000000001,105.000000000000000,10.400000000000000,25.000000000000000,2.500000000000000,1.900000000000000,715.000000000000000,60.000000000000000,8.400000000000000,10.000000000000000,1.400000000000000,20.000000000000000,2.800000000000000,14.900000000000000,44.700000000000003,22.837,2.30672526,1.98318219,237.94480896,265.07162476,Sir Isaac Brock,8.00000000000,8.00000000000,0.00000000000,"57","50",33.176,35.657,"43086","2000014024",78 AMSTERDAM CRESCENT,1274899.999999999767169,"December 06, 2021",1550000.000000000000000,7.000000000000000,4.000000000000000,,3500.000000000000000,15.000000000000000,2-Storey,Apartment,,,2021.000000000000000,8204.000000000000000,105.000000000000000,37.000000000000000,"711863036",Two Rivers,ResidentialProperty,43.517942419999997,-80.191499859999993
"17300","2000030472",1 SIMMONDS DRIVE,4653.128906250000000,"35230489",35230489.000000000000000,1921.000000000000000,1560.000000000000000,23.100000000000001,1855.099999999999909,1.000000000000000,628.799999999999955,345.000000000000000,1165.000000000000000,415.000000000000000,85.000000000000000,4.400000000000001,17.899999999999999,60.500000000000000,21.600000000000001,42.799999999999997,650.000000000000000,395.000000000000000,60.799999999999997,2.700000000000000,305.000000000000000,46.899999999999999,64398.000000000000000,400280.999999999941792,457888.000000000000000,625.000000000000000,94.000000000000000,40.000000000000000,6.000000000000000,17.699999999999999,37.500000000000000,1239.000000000000000,1420.000000000000000,415.000000000000000,29.199999999999999,65.000000000000000,4.600000000000000,10.000000000000000,0.700000000000000,5.600000000000000,950.000000000000000,35.000000000000000,3.700000000000000,15.000000000000000,1.600000000000000,0.000000000000000,0.000000000000000,9.600000000000000,41.399999999999999,8.936,2.99590135,0.95563334,129.83151245,142.71920776,Waverly Dr,6.00000000000,6.05000000000,0.00000000000,"23","61",23.329,44.740,"17300","2000030472",1 SIMMONDS DRIVE,899900.000000000000000,"May 26, 2021",999000.000000000000000,5.000000000000000,3.000000000000000,,2000.000000000000000,15.000000000000000,2-Storey,Finished,,,2021.000000000000000,5053.000000000000000,115.000000000000000,47.000000000000000,"713581046",Brant,ResidentialProperty,43.579103400000001,-80.269716000000003
"18661","2000010963",339 WEST ACRES DRIVE,28005.917968749996362,"35230416",35230416.000000000000000,397.000000000000000,432.000000000000000,-8.100000000000000,1777.900000000000091,0.200000000000000,681.799999999999955,60.000000000000000,275.000000000000000,60.000000000000000,25.000000000000000,6.300000000000000,15.199999999999999,69.599999999999994,15.199999999999999,40.899999999999999,150.000000000000000,140.000000000000000,93.299999999999997,2.600000000000000,65.000000000000000,43.299999999999997,52303.000000000000000,348764.000000000000000,336944.000000000000000,140.000000000000000,96.599999999999994,10.000000000000000,6.900000000000000,21.399999999999999,0.000000000000000,0.000000000000000,310.000000000000000,55.000000000000000,17.699999999999999,10.000000000000000,3.200000000000000,0.000000000000000,0.000000000000000,9.300000000000001,185.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,8.500000000000000,25.399999999999999,5.689,2.78395152,0.85282570,135.04745483,144.37475586,Gateway Drive,3.20000000000,3.98000000000,56.61389851870,"19","52",20.692,35.750,"18661","2000010963",339 WEST ACRES DRIVE,699900.000000000000000,"May 31, 2021",910000.000000000000000,7.000000000000000,3.000000000000000,1.000000000000000,1100.000000000000000,50.000000000000000,Bungalow-Raised,Finished,2021.000000000000000,377000.000000000000000,2021.000000000000000,4307.640000000000327,,61.000000000000000,"-",West Willow Woods,ResidentialProperty,43.516165450000003,-80.280124810000004
"26793","2000019788",193 DAWN AVENUE,15485.847656250000000,"35230500",35230500.000000000000000,1232.000000000000000,1180.000000000000000,4.400000000000001,1132.500000000000000,1.100000000000000,418.300000000000011,260.000000000000000,850.000000000000000,125.000000000000000,120.000000000000000,9.699999999999999,21.100000000000001,68.799999999999997,10.100000000000000,35.100000000000001,385.000000000000000,255.000000000000000,66.200000000000003,3.200000000000000,195.000000000000000,50.700000000000003,78605.000000000000000,598175.000000000000000,580889.000000000000000,285.000000000000000,80.299999999999997,70.000000000000000,19.699999999999999,17.500000000000000,64.299999999999997,1426.000000000000000,870.000000000000000,320.000000000000000,36.799999999999997,75.000000000000000,8.600000000000000,45.000000000000000,5.200000000000000,6.800000000000000,530.000000000000000,45.000000000000000,8.500000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,12.699999999999999,38.000000000000000,28.998,4.05891180,2.54056692,444.53530884,480.13174438,Westminster Woods,7.60000000000,7.68000000000,2.55806233701,"20","13",20.274,34.919,"26793","2000019788",193 DAWN AVENUE,1599900.000000000232831,"June 28, 2021",1615000.000000000000000,10.000000000000000,4.000000000000000,1.000000000000000,2500.000000000000000,30.000000000000000,2-Storey,Apartment,2021.000000000000000,686000.000000000000000,2021.000000000000000,7838.300000000000182,190.000000000000000,50.000000000000000,"714921016",Clairfields,ResidentialProperty,43.504604999999998,-80.195358999999996
"29299","2000023722",21 MELROSE PLACE,30634.253906250000000,"35230487",35230487.000000000000000,585.000000000000000,589.000000000000000,-0.700000000000000,5696.199999999999818,0.100000000000000,1610.000000000000000,120.000000000000000,430.000000000000000,30.000000000000000,50.000000000000000,8.500000000000000,20.500000000000000,73.500000000000000,5.100000000000000,35.299999999999997,165.000000000000000,150.000000000000000,90.900000000000006,3.700000000000000,110.000000000000000,66.700000000000003,58838.000000000000000,450186.000000000000000,475735.000000000058208,120.000000000000000,77.400000000000006,35.000000000000000,22.600000000000001,16.699999999999999,42.899999999999999,1092.000000000000000,435.000000000000000,80.000000000000000,18.399999999999999,25.000000000000000,5.700000000000000,0.000000000000000,0.000000000000000,0.000000000000000,315.000000000000000,15.000000000000000,4.800000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,15.199999999999999,25.000000000000000,15.257,2.55901384,1.94383061,171.83148193,191.59500122,Taylor Evans,6.70000000000,7.13000000000,0.00000000000,"7",,20.590,28.831,"29299","2000023722",21 MELROSE PLACE,899900.000000000000000,"July 07, 2021",1066000.000000000000000,2.000000000000000,4.000000000000000,1.000000000000000,1500.000000000000000,30.000000000000000,2-Storey,Finished,2021.000000000000000,456000.000000000000000,2020.000000000000000,5120.159999999999854,113.000000000000000,38.549999999999997,"712580436",West Willow Woods,ResidentialProperty,43.526492169999997,-80.271395929999997
"2120","2000038935",20 LAURINE AVENUE,85094.097656250014552,"35230160",35230160.000000000000000,437.000000000000000,430.000000000000000,1.600000000000000,1920.000000000000000,0.200000000000000,900.000000000000000,65.000000000000000,295.000000000000000,75.000000000000000,15.000000000000000,3.400000000000000,14.900000000000000,67.799999999999997,17.199999999999999,43.399999999999999,205.000000000000000,195.000000000000000,95.099999999999994,2.100000000000000,80.000000000000000,39.000000000000000,57313.000000000000000,375352.999999999941792,381479.000000000058208,185.000000000000000,90.200000000000003,20.000000000000000,9.800000000000001,18.899999999999999,0.000000000000000,0.000000000000000,385.000000000000000,125.000000000000000,32.500000000000000,10.000000000000000,2.600000000000000,25.000000000000000,6.500000000000000,5.900000000000000,235.000000000000000,0.000000000000000,0.000000000000000,15.000000000000000,6.400000000000000,15.000000000000000,6.400000000000000,3.300000000000000,23.300000000000001,12.625,1.97225344,1.31803417,243.15689087,259.07022095,John Galt,4.40000000000,5.10000000000,44.36988234090,"55","74",42.657,49.271,"2120","2000038935",20 LAURINE AVENUE,499800.000000000000000,"June 28, 2021",480000.000000000000000,4.000000000000000,1.000000000000000,,700.000000000000000,99.000000000000000,Bungalow,Full,2021.000000000000000,201000.000000000000000,2021.000000000000000,2257.000000000000000,104.000000000000000,35.000000000000000,"713240076",Central East,ResidentialProperty,43.555067829999999,-80.242019139999996
"26572","2000003548",41 PAUL AVENUE,81609.167968750000000,"35230059",35230059.000000000000000,686.000000000000000,690.000000000000000,-0.600000000000000,3251.199999999999818,0.200000000000000,1352.400000000000091,90.000000000000000,390.000000000000000,205.000000000000000,25.000000000000000,3.600000000000000,13.000000000000000,56.500000000000000,29.699999999999999,49.100000000000001,280.000000000000000,190.000000000000000,67.900000000000006,2.200000000000000,85.000000000000000,30.399999999999999,51401.000000000000000,350056.000000000000000,366811.000000000058208,180.000000000000000,65.500000000000000,90.000000000000000,32.700000000000003,13.900000000000000,16.699999999999999,589.000000000000000,480.000000000000000,45.000000000000000,9.400000000000000,10.000000000000000,2.100000000000000,10.000000000000000,2.100000000000000,5.300000000000000,265.000000000000000,10.000000000000000,3.800000000000000,20.000000000000000,7.500000000000000,0.000000000000000,0.000000000000000,6.900000000000000,37.100000000000001,14.802,4.91877842,2.02665854,574.29626465,596.04132080,Waverly Dr,6.00000000000,6.05000000000,44.92252300480,"30","41",42.146,46.625,"26572","2000003548",41 PAUL AVENUE,775000.000000000000000,"July 14, 2021",956500.000000000000000,6.000000000000000,3.000000000000000,1.000000000000000,1100.000000000000000,,Bungalow,Finished,,,2021.000000000000000,4200.000000000000000,153.000000000000000,62.000000000000000,"-",Central East,ResidentialProperty,43.561995799999998,-80.259257620000000
"568","2000019306",73 SOUTHCREEK TRAIL,30878.339843750000000,"35230498",35230498.000000000000000,430.000000000000000,453.000000000000000,-5.100000000000000,1074.700000000000045,0.400000000000000,555.000000000000000,65.000000000000000,335.000000000000000,25.000000000000000,75.000000000000000,17.399999999999999,15.100000000000000,77.900000000000006,5.800000000000000,34.100000000000001,160.000000000000000,105.000000000000000,65.599999999999994,2.700000000000000,70.000000000000000,43.799999999999997,56804.000000000000000,349646.000000000000000,371428.000000000000000,125.000000000000000,73.500000000000000,45.000000000000000,26.500000000000000,16.000000000000000,62.500000000000000,1883.000000000000000,365.000000000000000,130.000000000000000,35.600000000000001,30.000000000000000,8.199999999999999,20.000000000000000,5.500000000000000,3.200000000000000,280.000000000000000,15.000000000000000,5.400000000000000,10.000000000000000,3.600000000000000,0.000000000000000,0.000000000000000,21.600000000000001,39.799999999999997,85.278,4.14587641,5.09195852,423.92977905,518.44793701,Rickson Ridge,7.00000000000,7.65000000000,0.00000000000,,,2.250,7.224,"568","2000019306",73 SOUTHCREEK TRAIL,879900.000000000000000,"September 09, 2021",845000.000000000000000,64.000000000000000,1.000000000000000,2.000000000000000,,,Bungalow,Fin W/O,,,2020.000000000000000,4322.579999999999927,144.360000000000014,32.810000000000002,"714900768",Kortright Hills,ResidentialProperty,43.509850329999999,-80.216244869999997
"9082","2000029899",99 KORTRIGHT ROAD WEST,57265.925781250000000,"35230190",35230190.000000000000000,500.000000000000000,494.000000000000000,1.200000000000000,2873.599999999999909,0.200000000000000,1182.400000000000091,80.000000000000000,310.000000000000000,110.000000000000000,45.000000000000000,9.000000000000000,16.000000000000000,62.000000000000000,22.000000000000000,42.100000000000001,185.000000000000000,170.000000000000000,91.900000000000006,2.700000000000000,85.000000000000000,46.000000000000000,85677.000000000000000,500175.000000000058208,492488.999999999941792,175.000000000000000,87.500000000000000,25.000000000000000,12.500000000000000,11.400000000000000,0.000000000000000,0.000000000000000,460.000000000000000,200.000000000000000,43.500000000000000,65.000000000000000,14.100000000000000,15.000000000000000,3.300000000000000,4.500000000000000,310.000000000000000,30.000000000000000,9.699999999999999,15.000000000000000,4.800000000000000,20.000000000000000,6.500000000000000,5.400000000000000,24.300000000000001,64.181,3.63565540,3.40391588,280.85913086,352.07919312,Jean Little,6.20000000000,5.98000000000,23.79714699080,"51","68",47.833,65.000,"9082","2000029899",99 KORTRIGHT ROAD WEST,699000.000000000000000,"July 20, 2021",803600.000000000000000,8.000000000000000,3.000000000000000,2.000000000000000,,,Bungalow,Apartment,,,2021.000000000000000,3999.130000000000109,120.000000000000000,50.000000000000000,"-",Kortright Hills,ResidentialProperty,43.517529279999998,-80.216196330000002
"14067","2000019662",32 DARNELL ROAD,21176.996093750000000,"35230276",35230276.000000000000000,600.000000000000000,624.000000000000000,-3.800000000000000,5128.199999999999818,0.100000000000000,1858.299999999999955,135.000000000000000,440.000000000000000,25.000000000000000,80.000000000000000,13.300000000000001,22.500000000000000,73.299999999999997,4.200000000000000,31.500000000000000,190.000000000000000,150.000000000000000,79.000000000000000,3.200000000000000,100.000000000000000,52.600000000000001,73593.000000000000000,440168.999999999941792,422079.000000000058208,160.000000000000000,78.000000000000000,45.000000000000000,22.000000000000000,15.600000000000000,66.700000000000003,1760.000000000000000,510.000000000000000,215.000000000000000,42.200000000000003,40.000000000000000,7.800000000000000,15.000000000000000,2.900000000000000,12.199999999999999,315.000000000000000,35.000000000000000,11.100000000000000,10.000000000000000,3.200000000000000,0.000000000000000,0.000000000000000,16.699999999999999,50.799999999999997,72.687,4.43450642,4.91683054,361.86727905,443.90499878,Rickson Ridge,7.00000000000,7.65000000000,0.00000000000,"84",,48.932,38.339,"14067","2000019662",32 DARNELL ROAD,849900.000000000000000,"April 10, 2021",820000.000000000000000,29.000000000000000,3.000000000000000,,1500.000000000000000,,2 1/2 Storey,Finished,,,2021.000000000000000,5010.000000000000000,104.400000000000006,30.920000000000002,"-",Kortright Hills,ResidentialProperty,43.515059000000001,-80.210903000000002
