,FID,GPID,address,shp__area,DA_ID,pop_2016,pop_2011,pop_chng_p,pop_dens,land_area,dwell_dens,0_14_yrs,15_64_yrs,65_plus_yr,20_24_yrs,20_24_pct,0_14_pct,15_64_pct,65_pls_pct,pop_age_av,dwellings,s_d_h,s_d_h_pct,hs_size_av,dwl_chld,dwl_chld_p,ave_inc,median_val,ave_val,owner,owner_pct,rentr,rentr_pct,own_30pls,rnt_30pls,rent_av,highr_ed,bach,bach_pct,mast,mast_pct,doct,doct_pct,unemployme,commute,transit,transit_p,walk,walk_pct,bicyc,bicyc_pct,mvrs_1yr_p,mvrs_3yr_p,noise_km,bark_km,bylaw_km,other_km,total_km,school_sco,trees_km,ws_ave,bs_ave,n_hood,ADDRESS,LIST_PRICE,SOLD_ON,SELL_PRICE,DOM,BDRMS,SIZE_SQFT,AGE,STYLE,ASS_YR,ASS_AMT,TAX_YR,TAX_AMT,LOT_DPTH,LOT_FRNT,LAT,LON
9,568,2000019306,73 SOUTHCREEK TRAIL,30878.33984375,35230498.0,430.0,453.0,-5.1,1074.7,0.4,555.0,65.0,335.0,25.0,75.0,17.4,15.1,77.9,5.8,34.1,160.0,105.0,65.6,2.7,70.0,43.8,56804.0,349646.0,371428.0,125.0,73.5,45.0,26.5,16.0,62.5,1883.0,365.0,130.0,35.6,30.0,8.2,20.0,5.5,3.2,280.0,15.0,5.4,10.0,3.6,0.0,0.0,21.6,39.8,85.278,4.14587641,5.09195852,423.92977905,518.44793701,7.65,0.0,2.25,7.224,Rickson Ridge,73 SOUTHCREEK TRAIL,879900.0,"September 09, 2021",845000.0,64.0,1.0,,,Bungalow,,,2020.0,4322.58,144.36,32.81,43.50985033,-80.21624487
93,31486,2000019609,11 MCCURDY ROAD,28316.55078125,35230277.0,406.0,451.0,-10.0,2902.1,0.1,1478.6,65.0,325.0,20.0,70.0,17.1,15.9,79.3,4.9,33.9,150.0,105.0,70.0,2.6,70.0,46.7,63038.0,399700.99999999994,390118.0,100.0,66.7,50.0,33.3,26.3,54.5,1598.0,360.0,110.0,30.6,15.0,4.2,25.0,6.9,4.8,275.0,35.0,12.7,0.0,0.0,0.0,0.0,34.5,51.7,75.975,3.34546304,5.10805511,406.43566895,490.86401367,7.65,0.0,15.106,42.4,Rickson Ridge,11 MCCURDY ROAD,824900.0,"October 25, 2021",905000.0,5.0,3.0,1500.0,15.0,Storey,,,2021.0,4479.03,131.0,31.0,43.5124985,-80.211692
115,48143,2000045320,32 RYDER AVENUE,6499.48828125,35230275.0,741.0,616.0,20.3,1174.0,0.6,849.2,95.0,580.0,60.0,145.0,19.5,12.8,77.9,8.1,34.1,325.0,115.0,35.4,2.3,95.0,29.2,60872.0,350148.99999999994,376668.99999999994,180.0,53.7,160.0,47.8,28.6,45.2,1116.0,635.0,230.0,36.2,30.0,4.7,35.0,5.5,4.6,385.0,40.0,10.4,40.0,10.4,25.0,6.5,32.6,64.6,85.176,5.32117558,4.4050827,324.69085693,419.59155273,7.65,0.0,36.0,72.0,Rickson Ridge,32 RYDER AVENUE,1475000.0,"May 10, 2021",1475000.0,94.0,2.0,1500.0,0.0,Bungalow,,,2020.0,1785.32,121.0,47.0,43.5162465,-80.2123403
182,48183,2000045329,104 LOVETT LANE,9665.5078125,35230275.0,741.0,616.0,20.3,1174.0,0.6,849.2,95.0,580.0,60.0,145.0,19.5,12.8,77.9,8.1,34.1,325.0,115.0,35.4,2.3,95.0,29.2,60872.0,350148.99999999994,376668.99999999994,180.0,53.7,160.0,47.8,28.6,45.2,1116.0,635.0,230.0,36.2,30.0,4.7,35.0,5.5,4.6,385.0,40.0,10.4,40.0,10.4,25.0,6.5,32.6,64.6,93.402,4.99024868,4.51120949,309.89294434,412.79650879,7.65,0.0,45.667,56.636,Rickson Ridge,104 LOVETT LANE,1199000.0,"August 04, 2021",1151000.0,14.0,3.0,1500.0,5.0,Storey,,,2021.0,5107.0,106.0,36.0,43.5150129,-80.2127747
253,9195,2000019168,186 RICKSON AVENUE,21176.99609375,35230276.0,600.0,624.0,-3.8,5128.2,0.1,1858.3,135.0,440.0,25.0,80.0,13.3,22.5,73.3,4.2,31.5,190.0,150.0,79.0,3.2,100.0,52.6,73593.0,440168.99999999994,422079.00000000006,160.0,78.0,45.0,22.0,15.6,66.7,1760.0,510.0,215.0,42.2,40.0,7.8,15.0,2.9,12.2,315.0,35.0,11.1,10.0,3.2,0.0,0.0,16.7,50.8,70.455,4.03599548,4.84735441,390.3309021,469.66879272,7.65,0.0,37.867,45.853,Rickson Ridge,186 RICKSON AVENUE,649900.0,"June 09, 2021",710000.0,6.0,3.0,1100.0,30.0,Storey,,,2021.0,3873.0,117.01,31.17,43.51341525,-80.21178081
289,6413,2000019217,14 TRUESDALE CRESCENT,4757.37890625,35230276.0,600.0,624.0,-3.8,5128.2,0.1,1858.3,135.0,440.0,25.0,80.0,13.3,22.5,73.3,4.2,31.5,190.0,150.0,79.0,3.2,100.0,52.6,73593.0,440168.99999999994,422079.00000000006,160.0,78.0,45.0,22.0,15.6,66.7,1760.0,510.0,215.0,42.2,40.0,7.8,15.0,2.9,12.2,315.0,35.0,11.1,10.0,3.2,0.0,0.0,16.7,50.8,64.113,3.31522512,4.39465237,417.86450195,489.68536377,7.65,0.0,22.851,61.782,Rickson Ridge,14 TRUESDALE CRESCENT,799900.0,"June 15, 2021",800000.0,19.0,5.0,1100.0,,Storey,,,2020.0,4210.66,103.77,30.18,43.51348346,-80.2092308
326,14067,2000019662,32 DARNELL ROAD,21176.99609375,35230276.0,600.0,624.0,-3.8,5128.2,0.1,1858.3,135.0,440.0,25.0,80.0,13.3,22.5,73.3,4.2,31.5,190.0,150.0,79.0,3.2,100.0,52.6,73593.0,440168.99999999994,422079.00000000006,160.0,78.0,45.0,22.0,15.6,66.7,1760.0,510.0,215.0,42.2,40.0,7.8,15.0,2.9,12.2,315.0,35.0,11.1,10.0,3.2,0.0,0.0,16.7,50.8,72.687,4.43450642,4.91683054,361.86727905,443.90499878,7.65,0.0,48.932,38.339,Rickson Ridge,32 DARNELL ROAD,849900.0,"April 10, 2021",820000.0,29.0,3.0,1500.0,,Storey,,,2021.0,5010.0,104.4,30.92,43.515059,-80.210903
376,682,2000019530,98 SOUTHCREEK TRAIL,28115.19140625,35230498.0,430.0,453.0,-5.1,1074.7,0.4,555.0,65.0,335.0,25.0,75.0,17.4,15.1,77.9,5.8,34.1,160.0,105.0,65.6,2.7,70.0,43.8,56804.0,349646.0,371428.0,125.0,73.5,45.0,26.5,16.0,62.5,1883.0,365.0,130.0,35.6,30.0,8.2,20.0,5.5,3.2,280.0,15.0,5.4,10.0,3.6,0.0,0.0,21.6,39.8,92.859,4.59831285,4.96978521,411.78091431,514.21057129,7.65,0.0,14.574,20.181,Rickson Ridge,98 SOUTHCREEK TRAIL,824000.0,"May 26, 2021",834000.0,6.0,3.0,,30.0,Storey,,,2020.0,4469.0,,38.99,43.51101454,-80.21534303
383,12157,2000018849,16 SOUTHCREEK TRAIL,28115.19140625,35230498.0,430.0,453.0,-5.1,1074.7,0.4,555.0,65.0,335.0,25.0,75.0,17.4,15.1,77.9,5.8,34.1,160.0,105.0,65.6,2.7,70.0,43.8,56804.0,349646.0,371428.0,125.0,73.5,45.0,26.5,16.0,62.5,1883.0,365.0,130.0,35.6,30.0,8.2,20.0,5.5,3.2,280.0,15.0,5.4,10.0,3.6,0.0,0.0,21.6,39.8,89.719,4.55240011,4.78474522,414.71795654,513.77722168,7.65,0.0,10.832,14.416,Rickson Ridge,16 SOUTHCREEK TRAIL,649900.0,"August 24, 2021",850000.0,4.0,3.0,,30.0,Storey,,,2021.0,4044.84,113.9,33.96,43.51076651,-80.21657632
415,2764,2000019338,38 MCCURDY ROAD,17283.609375,35230276.0,600.0,624.0,-3.8,5128.2,0.1,1858.3,135.0,440.0,25.0,80.0,13.3,22.5,73.3,4.2,31.5,190.0,150.0,79.0,3.2,100.0,52.6,73593.0,440168.99999999994,422079.00000000006,160.0,78.0,45.0,22.0,15.6,66.7,1760.0,510.0,215.0,42.2,40.0,7.8,15.0,2.9,12.2,315.0,35.0,11.1,10.0,3.2,0.0,0.0,16.7,50.8,73.316,2.64456677,4.99417353,401.48690796,482.44064331,7.65,0.0,18.937,38.579,Rickson Ridge,38 MCCURDY ROAD,749000.0,"July 06, 2021",728000.0,13.0,4.0,,,Storey,2021.0,395000.0,2021.0,4513.31,114.83,31.71,43.51144531,-80.21240578
