ADDRESS,LIST_PRICE,SOLD_ON,SELL_PRICE,DOM,BDRMS,BDRMS+,SIZE_SQFT,AGE,STYLE,BSMT,ASS_YR,ASS_AMT,TAX_YR,TAX_AMT,LOT_DPTH,LOT_FRNT,PARCEL_NO,COMMUNITY,TYPE,LAT,LON
1 DARBY ROAD,799900,21-Sep-21,961000,4,4,,1500,50,2-Storey,Full,,,2021,5061.76,110.05,58.51,-,Onward Willow,ResidentialProperty,43.5219349,-80.2804549
1 EASTVIEW ROAD,774900,17-Jul-21,890000,4,3,,,,Bungalow,Finished,,,2021,4685,66.56,128,-,Grange Hill East,ResidentialProperty,43.564967,-80.24186
1 FERNBANK PLACE,1199900,17-Sep-21,1385000,6,3,,2000,50,2-Storey,Finished,2021,544000,2021,6110,,93,-,Kortright Hills,ResidentialProperty,43.502716,-80.237331
1 PORTER DRIVE,989888,17-May-21,1065000,7,4,2,,,2-Storey,Finished,,,2021,6042,,48.75,-,Pine Ridge,ResidentialProperty,43.506626,-80.189371
1 SIMMONDS DRIVE,899900,26-May-21,999000,5,3,,2000,15,2-Storey,Finished,,,2021,5053,115,47,713581046,Brant,ResidentialProperty,43.5791034,-80.269716
1 SINCLAIR STREET,899999,21-Sep-21,900000,6,3,,,,2-Storey,Finished,2021,427000,2021,4878,82,38,711861547,Guelph South,ResidentialProperty,43.5064071,-80.1860378
1 STIRLING PLACE,689000,03-May-21,690000,4,3,,1100,50,Sidesplit 3,Finished,2021,326000,2020,3660.47,62.94,100,712950049,June Avenue,ResidentialProperty,43.5569591,-80.2806073
1 WESTHILL ROAD,789900,28-May-21,790000,9,3,1,1100,50,2-Storey,Finished,2021,364000,2020,4259,72.14,95.01,-,West Willow Woods,ResidentialProperty,43.5290665,-80.2873682
10 BRIGHT LANE,1475000,09-Oct-21,1625000,4,4,,2500,15,2-Storey,Finished,2021,762000,2021,8706.68,105,54,-,Guelph South,ResidentialProperty,43.51570472,-80.1842601
10 EDWIN STREET,849900,14-May-21,845000,7,6,3,,100,2 1/2 Storey,Full,,,2021,5153.84,53,42,-,Exhibition Park,ResidentialProperty,43.5495119,-80.2564788
10 EMSLIE STREET,699900,03-Nov-21,729000,15,4,,1500,100,2-Storey,Full,,,2021,4890,75,44,-,Central West,ResidentialProperty,43.5374801,-80.2524256
10 KIPLING AVENUE,879900,28-Sep-21,1009000,6,4,,1500,50,Backsplit 3,Part Bsmt,2021,474000,2021,5415.97,120,49.21,712670230,West Willow Woods,ResidentialProperty,43.5308009,-80.2955043
10 MAUDE LANE,779900,08-May-21,815000,5,3,,,15,2-Storey,Full,,,2020,4603.65,119.75,30.09,713560829,Grange Hill East,ResidentialProperty,43.58007984,-80.22323251
10 MCINTYRE COURT,1339950,16-Oct-21,1350000,8,4,1,,5,2-Storey,Apartment,,,2021,6238.65,104.11,32.9,-,Guelph South,ResidentialProperty,43.5052191,-80.1803894
10 PALMER STREET,699000,05-Sep-21,645000,118,2,,,,Bungalow,Unfinished,,,2021,4008.54,72,33.33,-,Central East,ResidentialProperty,43.5497119,-80.2485057
10 WHISPERING RIDGE,699500,17-Nov-21,720000,16,3,,1500,50,Bungalow,Fin W/O,,,2021,3702.05,100,30,-,Kortright Hills,ResidentialProperty,43.51444927,-80.23596569
