ADDRESS,LIST_PRICE,SOLD_ON,SELL_PRICE,DOM,BDRMS,BDRMS+,SIZE_SQFT,AGE,STYLE,BSMT,ASS_YR,ASS_AMT,TAX_YR,TAX_AMT,LOT_DPTH,LOT_FRNT,PARCEL_NO,COMMUNITY,TYPE,LAT,LON
1 Darby Road ,"$799,900",['Sold on Sep 21 2021'],"$961,000",4,4,-,1500-2000,31-50 years,2-Storey,Full,-,-,2021,5061.76,110.05,58.51,-,Onward Willow,ResidentialProperty,43.5219349,-80.2804549
1 Eastview Road ,"$774,900",['Sold on Jul 17 2021'],"$890,000",4,3,-,-,-,Bungalow,Finished,-,-,2021,4685,66.56,128,-,Grange Hill East,ResidentialProperty,43.564967,-80.24186
1 Fernbank Place ,"$1,199,900",['Sold on Sep 17 2021'],"$1,385,000",6,3,-,2000-2500,31-50 years,2-Storey,Finished,2021,544000,2021,6110,-,93,-,Kortright Hills,ResidentialProperty,43.502716,-80.237331
1 Porter Drive ,"$989,888",['Sold on May 17 2021'],"$1,065,000",7,4,2,-,-,2-Storey,Finished,-,-,2021,6042,-,48.75,-,Pine Ridge,ResidentialProperty,43.506626,-80.189371
1 Simmonds Drive ,"$899,900",['Sold on May 26 2021'],"$999,000",5,3,-,2000-2500,6-15 years,2-Storey,Finished,-,-,2021,5053,115,47,713581046,Brant,ResidentialProperty,43.5791034,-80.269716
1 Sinclair Street ,"$899,999",['Sold on Sep 21 2021'],"$900,000",6,3,-,-,-,2-Storey,Finished,2021,427000,2021,4878,82,38,711861547,Guelph South,ResidentialProperty,43.5064071,-80.1860378
1 Stirling Place ,"$689,000",['Sold on May 03 2021'],"$690,000",4,3,-,1100-1500,31-50 years,Sidesplit 3,Finished,2021,326000,2020,3660.47,62.94,100,712950049,June Avenue,ResidentialProperty,43.5569591,-80.2806073
1 Westhill Road ,"$789,900",['Sold on May 28 2021'],"$790,000",9,3,1,1100-1500,31-50 years,2-Storey,Finished,2021,364000,2020,4259,72.14,95.01,-,West Willow Woods,ResidentialProperty,43.5290665,-80.2873682
10 Bright Lane ,"$1,475,000",['Sold on Oct 09 2021'],"$1,625,000",4,4,-,2500-3000,6-15 years,2-Storey,Finished,2021,762000,2021,8706.68,105,54,-,Guelph South,ResidentialProperty,43.51570472,-80.1842601
10 Edwin Street ,"$849,900",['Sold on May 14 2021'],"$845,000",7,6,3,-,100+ years,2 1/2 Storey,Full,-,-,2021,5153.84,53,42,-,Exhibition Park,ResidentialProperty,43.5495119,-80.2564788
10 Emslie Street ,"$699,900",['Sold on Nov 03 2021'],"$729,000",15,4,-,1500-2000,100+ years,2-Storey,Full,-,-,2021,4890,75,44,-,Central West,ResidentialProperty,43.5374801,-80.2524256
10 Kipling Avenue ,"$879,900",['Sold on Sep 28 2021'],"$1,009,000",6,4,-,1500-2000,31-50 years,Backsplit 3,Part Bsmt,2021,474000,2021,5415.97,120,49.21,712670230,West Willow Woods,ResidentialProperty,43.5308009,-80.2955043
10 Maude Lane ,"$779,900",['Sold on May 08 2021'],"$815,000",5,3,-,-,6-15 years,2-Storey,Full,-,-,2020,4603.65,119.75,30.09,713560829,Grange Hill East,ResidentialProperty,43.58007984,-80.22323251
10 Mcintyre Court ,"$1,339,950",['Sold on Oct 16 2021'],"$1,350,000",8,4,1,-,0-5 years,2-Storey,Apartment,-,-,2021,6238.65,104.11,32.9,-,Guelph South,ResidentialProperty,43.5052191,-80.1803894
10 Palmer Street ,"$699,000",['Sold on Sep 05 2021'],"$645,000",118,2,-,-,-,Bungalow,Unfinished,-,-,2021,4008.54,72,33.33,-,Central East,ResidentialProperty,43.5497119,-80.2485057
10 Whispering Ridge ,"$699,500",['Sold on Nov 17 2021'],"$720,000",16,3,-,1500-2000,31-50 years,Bungalow,Fin W/O,-,-,2021,3702.05,100,30,-,Kortright Hills,ResidentialProperty,43.51444927,-80.23596569
100 Emma Street ,"$499,900",['Sold on Dec 07 2021'],"$576,100",7,3,-,-,51-99 years,1 1/2 Storey,Part Fin,-,-,2021,3537,100,57.85,-,Central West,ResidentialProperty,43.56135071,-80.25788724
101 Couling Crescent South ,"$1,200,000",['Sold on Nov 19 2021'],"$1,425,000",1,4,-,2000-2500,6-15 years,2-Storey,Finished,2021,577000,2021,6592.85,196,32,-,Grange Hill East,ResidentialProperty,-,-
102 Flaherty Drive ,"$899,000",['Sold on Oct 29 2021'],"$1,030,000",1,3,2,-,-,Bungalow,Fin W/O,-,-,2020,5712,-,50.79,-,West Willow Woods,ResidentialProperty,43.52956826,-80.30511895
104 Lovett Lane ,"$1,199,000",['Sold on Aug 04 2021'],"$1,151,000",14,3,-,1500-2000,0-5 years,2-Storey,Full,-,-,2021,5107,106,36,-,Hanlon Creek,ResidentialProperty,43.5150129,-80.2127747
106 Dallan Drive ,"$1,549,000",['Sold on Aug 11 2021'],"$1,465,000",30,4,-,2000-2500,0-5 years,2-Storey,Finished,-,-,2020,6490.02,88.42,39.37,-,Guelph South,ResidentialProperty,43.5040011,-80.1799479
107 Speedvale Avenue West ,"$799,000",['Sold on May 10 2021'],"$850,000",4,3,3,-,51-99 years,Bungalow,Apartment,-,-,2020,4098.37,126,66.1,712960086,June Avenue,ResidentialProperty,43.55366335,-80.27504241
107 Teal Drive ,"$999,999",['Sold on Sep 18 2021'],"$1,175,000",3,3,1,2000-2500,16-30 years,2-Storey,Apartment,-,-,2021,6238,131,40,-,Kortright Hills,ResidentialProperty,43.49780905,-80.2263334
108 Kortright Road East ,"$1,508,700",['Sold on Oct 26 2021'],"$1,495,000",12,3,1,2500-3000,6-15 years,2-Storey,Finished,2021,679000,2021,7758.32,140,53,715050626,Village,ResidentialProperty,43.52973358,-80.2072623
108 Sheridan Street ,"$750,000",['Sold on Sep 12 2021'],"$910,000",4,3,2,1100-1500,51-99 years,Bungalow,Finished,2021,397000,2021,4536.16,104,71.13,713050098,Waverley,ResidentialProperty,43.57327353,-80.2557175
109 Suffolk Street West ,"$1,199,000",['Sold on May 11 2021'],"$1,355,000",12,4,-,3500-5000,100+ years,2-Storey,Unfinished,-,-,2020,8769.4,106.5,53.08,712920067,Exhibition Park,ResidentialProperty,43.54554736,-80.25863201
11 Brady Lane ,"$1,000,000",['Sold on Oct 25 2021'],"$1,230,000",5,4,2,2000-2500,31-50 years,2-Storey,Finished,-,-,2021,6901,-,115.81,-,Village,ResidentialProperty,43.52241375,-80.21076028
11 Duck Lane ,"$1,175,000",['Sold on Nov 05 2021'],"$1,280,000",2,3,1,-,-,2-Storey,Finished,2021,533000,2021,6090.11,109,36,-,Guelph South,ResidentialProperty,43.51117498,-80.17914575
11 Henderson Drive ,"$899,000",['Sold on Aug 28 2021'],"$908,000",23,3,-,1500-2000,6-15 years,2-Storey,Finished,-,-,2021,5016.05,114,31,713560616,Grange Hill East,ResidentialProperty,43.57823494,-80.22041865
11 Mccurdy Road ,"$824,900",['Sold on Oct 25 2021'],"$905,000",5,3,-,1500-2000,6-15 years,2-Storey,Finished,-,-,2021,4479.03,131,31,-,Kortright Hills,ResidentialProperty,43.5124985,-80.211692
11 Miller Street ,"$1,200,000",['Sold on Nov 16 2021'],"$1,410,000",5,4,1,2500-3000,16-30 years,2-Storey,Finished,2021,595000,2021,6799,105,44.95,711861138,Pine Ridge,ResidentialProperty,43.516237,-80.18803943
11 Ryde Road ,"$750,000",['Sold on Nov 24 2021'],"$912,500",6,3,-,-,-,2-Storey,Finished,2021,352000,2021,4021.98,110,33,712590281,West Willow Woods,ResidentialProperty,43.52772428,-80.28147074
11 Shirley Avenue ,"$850,000",['Sold on Nov 16 2021'],"$1,106,000",6,4,-,1100-1500,51-99 years,2-Storey,Finished,2021,407000,2021,4650,100,89,713250054,Central East,ResidentialProperty,43.5581783,-80.245998
11 Weir Drive ,"$1,149,999",['Sold on Jun 01 2021'],"$1,150,000",4,4,-,2000-2500,16-30 years,2-Storey,Full,-,-,2021,6250,-,79,-,Kortright Hills,ResidentialProperty,43.49837299,-80.23908905
11 Westminster Avenue ,"$849,900",['Sold on Aug 31 2021'],"$864,900",6,4,-,1500-2000,51-99 years,Sidesplit 4,Part Fin,-,-,2021,4443.3,100,61.55,-,Central East,ResidentialProperty,43.56578126,-80.24531484
11 Wilkie Crescent ,"$799,900",['Sold on Aug 16 2021'],"$875,000",5,3,-,-,-,2-Storey,Finished,2021,412000,2021,412000,110,30,-,Guelph South,ResidentialProperty,43.50797959,-80.18069534
111 Lane Street ,"$895,000",['Sold on May 16 2021'],"$905,000",4,3,1,-,-,2-Storey,Unfinished,-,-,2020,5300,154.68,79,-,Two Rivers,ResidentialProperty,43.557355,-80.2433765
111 Ptarmigan Drive ,"$1,489,900",['Sold on Oct 25 2021'],"$1,500,000",12,3,-,2500-3000,16-30 years,2-Storey,Finished,-,-,2021,7040.21,199.47,59.05,712170003,Kortright Hills,ResidentialProperty,43.50341383,-80.24587117
111 Stevenson Street North ,"$524,000",['Sold on Jun 10 2021'],"$551,000",1,4,-,1100-1500,-,1 1/2 Storey,Full,-,-,2020,4143,241.5,36.52,-,Central East,ResidentialProperty,43.55630124,-80.23894454
113 Grange Street ,"$739,900",['Sold on Aug 06 2021'],"$719,000",25,2,-,1100-1500,100+ years,Bungalow,Full,2021,335000,2021,3827.74,165,59.51,-,Central East,ResidentialProperty,43.5536137,-80.2392279
114 Baxter Drive ,"$1,299,000",['Sold on Oct 07 2021'],"$1,335,000",1,4,-,2500-3000,6-15 years,2-Storey,Full,-,-,2021,6878.51,110.83,37.53,-,Pine Ridge,ResidentialProperty,43.51298603,-80.17672273
114 William Street ,"$799,900",['Sold on Jun 02 2021'],"$800,000",8,2,1,1100-1500,51-99 years,Bungalow,Finished,-,-,2020,3795.21,101.37,56.64,-,Central East,ResidentialProperty,43.56059782,-80.24265774
118 Queen Street ,"$1,250,000",['Sold on May 18 2021'],"$1,370,000",7,4,1,2000-2500,100+ years,2 1/2 Storey,Finished,-,-,2020,5457,114,30,-,Waverley,ResidentialProperty,43.6219583,-80.1430048
12 Bailey Avenue ,"$899,900",['Sold on Dec 08 2021'],"$1,110,000",8,4,1,1500-2000,16-30 years,2-Storey,Finished,-,-,2021,5199,136.84,30.18,713020117,June Avenue,ResidentialProperty,43.55831576,-80.27297414
12 Brady Lane ,"$1,195,000",['Sold on Nov 09 2021'],"$1,195,000",5,3,2,2500-3000,31-50 years,2-Storey,Finished,2021,705000,2021,8055.39,-,50,715040031,Village,ResidentialProperty,43.52239875,-80.21104561
