,FID,GPID,address,shp__area,DA_ID,pop_2016,pop_2011,pop_chng_p,pop_dens,land_area,dwell_dens,0_14_yrs,15_64_yrs,65_plus_yr,20_24_yrs,20_24_pct,0_14_pct,15_64_pct,65_pls_pct,pop_age_av,dwellings,s_d_h,s_d_h_pct,hs_size_av,dwl_chld,dwl_chld_p,ave_inc,median_val,ave_val,owner,owner_pct,rentr,rentr_pct,own_30pls,rnt_30pls,rent_av,highr_ed,bach,bach_pct,mast,mast_pct,doct,doct_pct,unemployme,commute,transit,transit_p,walk,walk_pct,bicyc,bicyc_pct,mvrs_1yr_p,mvrs_3yr_p,noise_km,bark_km,bylaw_km,other_km,total_km,school_sco,trees_km,ws_ave,bs_ave,ADDRESS,LIST_PRICE,SOLD_ON,SELL_PRICE,DOM,BDRMS,BDRMS+,SIZE_SQFT,AGE,STYLE,BSMT,ASS_YR,ASS_AMT,TAX_YR,TAX_AMT,LOT_DPTH,LOT_FRNT,PARCEL_NO,COMMUNITY,TYPE,LAT,LON
0,13204,2000007491,76 CASSINO AVENUE,76833.640625,35230052.0,546.0,531.0,2.8,2798.6,0.2,1220.0,95.0,360.0,90.0,45.0,8.300000000000002,17.4,66.1,16.5,40.7,235.0,215.0,91.5,2.3,100.0,42.6,51689.0,300419.00000000006,302792.0,180.0,76.6,55.0,23.4,18.9,0.0,1068.0,475.0,60.0,12.6,10.0,2.1,0.0,0.0,7.7,295.0,15.0,5.1,25.0,8.5,0.0,0.0,12.5,33.0,19.331,5.76881886,2.19387293,449.78619385,477.07775879,4.2,80.6143823564,38.446,46.692,76 CASSINO AVENUE,725000,16-Jun-21,725000,1.0,2,1.0,700.0,50.0,Bungalow,Finished,2021.0,303000.0,2021,3402.21,135.0,50.0,230802001,Grange Hill East,ResidentialProperty,43.56036591,-80.23766167
1,1930,2000003516,41 PHILIP AVENUE,28654.203125,35230059.0,686.0,690.0,-0.6,3251.2,0.2,1352.4,90.0,390.0,205.0,25.0,3.6,13.0,56.5,29.7,49.1,280.0,190.0,67.9,2.2,85.0,30.4,51401.0,350056.0,366811.00000000006,180.0,65.5,90.0,32.7,13.9,16.7,589.0,480.0,45.0,9.4,10.0,2.1,10.0,2.1,5.3,265.0,10.0,3.8,20.0,7.5,0.0,0.0,6.9,37.1,11.624,4.21755028,1.82296443,590.77722168,608.43884277,6.05,45.6889933727,38.556,55.037,41 PHILIP AVENUE,775000,25-Aug-21,765000,12.0,3,,700.0,,Bungalow,Full,,,2021,3500.0,93.0,54.0,-,Waverley,ResidentialProperty,43.56220858,-80.26039957
2,15085,2000003552,100 EMMA STREET,81609.16796875,35230059.0,686.0,690.0,-0.6,3251.2,0.2,1352.4,90.0,390.0,205.0,25.0,3.6,13.0,56.5,29.7,49.1,280.0,190.0,67.9,2.2,85.0,30.4,51401.0,350056.0,366811.00000000006,180.0,65.5,90.0,32.7,13.9,16.7,589.0,480.0,45.0,9.4,10.0,2.1,10.0,2.1,5.3,265.0,10.0,3.8,20.0,7.5,0.0,0.0,6.9,37.1,18.123,5.64966345,2.29204106,523.90563965,549.9677124,6.05,49.6239159205,39.964,46.618,100 EMMA STREET,499900,07-Dec-21,576100,7.0,3,,,99.0,1 1/2 Storey,Part Fin,,,2021,3537.0,100.0,57.85,-,Central West,ResidentialProperty,43.56135071,-80.25788724
3,11163,2000003487,57 PAUL AVENUE,81609.16796875,35230059.0,686.0,690.0,-0.6,3251.2,0.2,1352.4,90.0,390.0,205.0,25.0,3.6,13.0,56.5,29.7,49.1,280.0,190.0,67.9,2.2,85.0,30.4,51401.0,350056.0,366811.00000000006,180.0,65.5,90.0,32.7,13.9,16.7,589.0,480.0,45.0,9.4,10.0,2.1,10.0,2.1,5.3,265.0,10.0,3.8,20.0,7.5,0.0,0.0,6.9,37.1,15.412,4.87927485,1.95977867,497.46600342,519.71508789,6.05,25.1282231788,40.904,51.442,57 PAUL AVENUE,780000,06-May-21,780000,9.0,5,,,50.0,Bungalow,Finished,2021.0,349000.0,2020,3918.72,97.4,60.01,713110097,Waverley,ResidentialProperty,43.5628498,-80.2581034
4,26572,2000003548,41 PAUL AVENUE,81609.16796875,35230059.0,686.0,690.0,-0.6,3251.2,0.2,1352.4,90.0,390.0,205.0,25.0,3.6,13.0,56.5,29.7,49.1,280.0,190.0,67.9,2.2,85.0,30.4,51401.0,350056.0,366811.00000000006,180.0,65.5,90.0,32.7,13.9,16.7,589.0,480.0,45.0,9.4,10.0,2.1,10.0,2.1,5.3,265.0,10.0,3.8,20.0,7.5,0.0,0.0,6.9,37.1,14.802,4.91877842,2.02665854,574.29626465,596.0413208,6.05,44.9225230048,42.146,46.625,41 PAUL AVENUE,775000,14-Jul-21,956500,6.0,3,1.0,1100.0,,Bungalow,Finished,,,2021,4200.0,153.0,62.0,-,Central East,ResidentialProperty,43.5619958,-80.25925762
5,13366,2000029405,15 LAVERNE AVENUE,13687.078125,35230161.0,491.0,497.0,-1.2,1754.8,0.3,875.0,50.0,320.0,120.0,35.0,7.1,10.2,65.3,24.5,47.5,235.0,145.0,61.7,2.1,70.0,29.8,54181.0,348574.0,349923.00000000006,150.0,61.2,95.0,38.8,10.3,63.2,925.0,450.0,90.0,20.0,25.0,5.6,0.0,0.0,9.3,240.0,10.0,4.2,10.0,4.2,0.0,0.0,5.0,26.0,7.489,1.42529225,2.25660443,458.2215271,469.39138794,4.2,73.7594142627,44.725,46.275,15 LAVERNE AVENUE,799900,16-Jul-21,753598,22.0,3,1.0,,,Bungalow,Sep Entrance,,,2020,3682.93,117.0,55.0,-,Brant,ResidentialProperty,43.56330828,-80.24601541
6,28009,2000036266,364 YORK ROAD,3641.578125,35230164.0,422.0,433.0,-2.5,935.9,0.5,475.6,40.0,340.0,40.0,40.0,9.5,9.5,81.0,9.5,38.4,195.0,125.0,64.1,2.2,60.0,30.8,49318.0,250857.0,258367.0,130.0,66.7,70.0,35.9,15.4,50.0,1067.0,400.0,80.0,20.0,20.0,5.0,0.0,0.0,7.9,275.0,25.0,9.1,15.0,5.5,0.0,0.0,16.9,33.7,14.689,2.39309835,3.00231743,269.81289673,289.89303589,5.1,38.2695746432,50.284,48.827,364 YORK ROAD,679900,30-May-21,700000,10.0,3,,1100.0,,2-Storey,Half,,,2021,4706.0,100.0,39.0,-,Village,ResidentialProperty,43.5487764,-80.2284644
7,10078,2000005167,70 YORK ROAD,887.7734375,35230149.0,768.0,693.0,10.8,7224.8,0.1,4081.8,125.0,435.0,210.0,50.0,6.5,16.3,56.9,27.5,44.9,430.0,45.0,10.5,1.8,100.0,23.3,64917.0,320080.0,340955.00000000006,165.0,40.2,245.0,59.8,24.2,42.9,670.0,595.0,180.0,30.3,35.0,5.9,20.0,3.4,11.1,220.0,20.0,9.1,35.0,15.9,0.0,0.0,19.8,48.9,48.977,8.0527029,8.21341038,6632.87353516,6698.11523438,5.1,32.5869249097,30.659,24.773,70 YORK ROAD,699900,23-Apr-21,685000,30.0,3,1.0,1500.0,99.0,1 1/2 Storey,Part Bsmt,,,2020,4370.0,110.0,49.0,-,Two Rivers,ResidentialProperty,43.54151426,-80.24022592
8,21038,2000003502,40 PHILIP AVENUE,72751.23828125,35230059.0,686.0,690.0,-0.6,3251.2,0.2,1352.4,90.0,390.0,205.0,25.0,3.6,13.0,56.5,29.7,49.1,280.0,190.0,67.9,2.2,85.0,30.4,51401.0,350056.0,366811.00000000006,180.0,65.5,90.0,32.7,13.9,16.7,589.0,480.0,45.0,9.4,10.0,2.1,10.0,2.1,5.3,265.0,10.0,3.8,20.0,7.5,0.0,0.0,6.9,37.1,10.457,3.90031981,1.75032544,593.26013184,609.36480713,6.05,45.6889933727,42.184,58.224,40 PHILIP AVENUE,699900,28-Sep-21,790000,4.0,3,,1100.0,99.0,Bungalow,Finished,2021.0,324000.0,2021,3702.05,103.89,52.99,713110041,Waverley,ResidentialProperty,43.56232345,-80.26057847
9,4938,2000029402,3 LINCOLN CRESCENT,51386.11328125,35230055.0,511.0,512.0,-0.2,2580.8,0.2,1015.0,80.0,345.0,85.0,45.0,8.800000000000002,15.7,67.6,16.7,41.1,195.0,165.0,84.6,2.6,90.0,46.2,67323.0,370624.0,391584.0,170.0,89.5,25.0,13.2,11.8,0.0,0.0,465.0,115.0,24.7,20.0,4.3,0.0,0.0,10.9,255.0,15.0,5.9,25.0,9.8,0.0,0.0,10.5,28.6,6.833,1.13077569,2.23607874,441.1217041,451.32131958,4.2,89.4051273874,40.549,46.098,3 LINCOLN CRESCENT,699000,02-Jun-21,770000,6.0,3,,1100.0,99.0,1 1/2 Storey,Full,2021.0,366000.0,2021,4181.95,,84.0,713270036,Central East,ResidentialProperty,43.56308557,-80.24683393
